model,task,lang_a,lang_b,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,cohens_h
qwen3-32b,code,ar,hi,0.52,0.29,0.23,28,5,33,14.6667,0.000128,True,Arabic > Hindi,0.4735
qwen3-32b,code,hi,zh,0.29,0.5,-0.21,7,28,35,11.4286,0.000723,True,Chinese > Hindi,0.4334
qwen3-32b,code,tr,zh,0.64,0.5,0.14,19,5,24,7.0417,0.007963,True,Turkish > Chinese,0.2838
qwen3-32b,code,ar,tr,0.52,0.64,-0.12,4,16,20,6.05,0.013906,True,Turkish > Arabic,0.2438
qwen3-32b,code,en,es,0.28,0.4,-0.12,4,16,20,6.05,0.013906,True,Spanish > English,0.2542
qwen3-32b,code,ar,es,0.52,0.4,0.12,17,5,22,5.5,0.019016,True,Arabic > Spanish,0.2414
qwen3-32b,code,es,zh,0.4,0.5,-0.1,4,14,18,4.5,0.033895,True,Chinese > Spanish,0.2014
qwen3-32b,code,es,hi,0.4,0.29,0.11,18,7,25,4.0,0.0455,True,Spanish > Hindi,0.2321
qwen3-32b,code,ar,zh,0.52,0.5,0.02,13,11,24,0.0417,0.838256,False,Arabic > Chinese,0.04
qwen3-32b,code,en,hi,0.28,0.29,-0.01,15,16,31,0.0,1.0,False,Hindi > English,0.0222
llama3.3-70b,commonsense,ar,zh,0.88,0.94,-0.06,0,6,6,4.1667,0.041227,True,Chinese > Arabic,0.2125
llama3.3-70b,commonsense,ar,en,0.88,0.93,-0.05,0,5,5,3.2,0.073638,False,English > Arabic,0.172
llama3.3-70b,commonsense,ar,hi,0.88,0.93,-0.05,0,5,5,3.2,0.073638,False,Hindi > Arabic,0.172
llama3.3-70b,commonsense,ar,tr,0.88,0.93,-0.05,0,5,5,3.2,0.073638,False,Turkish > Arabic,0.172
llama3.3-70b,commonsense,ar,es,0.88,0.92,-0.04,1,5,6,1.5,0.220671,False,Spanish > Arabic,0.134
llama3.3-70b,commonsense,es,zh,0.92,0.94,-0.02,0,2,2,0.5,0.4795,False,Chinese > Spanish,0.0786
llama3.3-70b,commonsense,en,es,0.93,0.92,0.01,1,0,1,0.0,1.0,False,English > Spanish,0.038
llama3.3-70b,commonsense,en,hi,0.93,0.93,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama3.3-70b,commonsense,en,tr,0.93,0.93,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama3.3-70b,commonsense,en,zh,0.93,0.94,-0.01,0,1,1,0.0,1.0,False,Chinese > English,0.0406
llama3.3-70b,commonsense,es,hi,0.92,0.93,-0.01,0,1,1,0.0,1.0,False,Hindi > Spanish,0.038
llama3.3-70b,commonsense,es,tr,0.92,0.93,-0.01,0,1,1,0.0,1.0,False,Turkish > Spanish,0.038
llama3.3-70b,commonsense,hi,tr,0.93,0.93,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama3.3-70b,commonsense,hi,zh,0.93,0.94,-0.01,0,1,1,0.0,1.0,False,Chinese > Hindi,0.0406
llama3.3-70b,commonsense,tr,zh,0.93,0.94,-0.01,0,1,1,0.0,1.0,False,Chinese > Turkish,0.0406
llama4-scout,commonsense,en,tr,0.82,0.94,-0.12,0,12,12,10.0833,0.001496,True,Turkish > English,0.3814
llama4-scout,commonsense,en,es,0.82,0.93,-0.11,0,11,11,9.0909,0.002569,True,Spanish > English,0.3408
llama4-scout,commonsense,en,zh,0.82,0.93,-0.11,0,11,11,9.0909,0.002569,True,Chinese > English,0.3408
llama4-scout,commonsense,ar,en,0.91,0.82,0.09,10,1,11,5.8182,0.015861,True,Arabic > English,0.2669
llama4-scout,commonsense,en,hi,0.82,0.91,-0.09,2,11,13,4.9231,0.0265,True,Hindi > English,0.2669
llama4-scout,commonsense,ar,tr,0.91,0.94,-0.03,0,3,3,1.3333,0.248213,False,Turkish > Arabic,0.1145
llama4-scout,commonsense,hi,tr,0.91,0.94,-0.03,0,3,3,1.3333,0.248213,False,Turkish > Hindi,0.1145
llama4-scout,commonsense,ar,es,0.91,0.93,-0.02,0,2,2,0.5,0.4795,False,Spanish > Arabic,0.0739
llama4-scout,commonsense,es,hi,0.93,0.91,0.02,2,0,2,0.5,0.4795,False,Spanish > Hindi,0.0739
llama4-scout,commonsense,es,zh,0.93,0.93,0.0,1,1,2,0.5,0.4795,False,tie,0.0
llama4-scout,commonsense,ar,hi,0.91,0.91,0.0,2,2,4,0.25,0.617075,False,tie,0.0
llama4-scout,commonsense,ar,zh,0.91,0.93,-0.02,1,3,4,0.25,0.617075,False,Chinese > Arabic,0.0739
llama4-scout,commonsense,hi,zh,0.91,0.93,-0.02,1,3,4,0.25,0.617075,False,Chinese > Hindi,0.0739
llama4-scout,commonsense,es,tr,0.93,0.94,-0.01,0,1,1,0.0,1.0,False,Turkish > Spanish,0.0406
llama4-scout,commonsense,tr,zh,0.94,0.93,0.01,1,0,1,0.0,1.0,False,Turkish > Chinese,0.0406
qwen3-32b,commonsense,en,zh,0.95,0.93,0.02,2,0,2,0.5,0.4795,False,English > Chinese,0.0845
qwen3-32b,commonsense,ar,en,0.94,0.95,-0.01,0,1,1,0.0,1.0,False,English > Arabic,0.0439
qwen3-32b,commonsense,ar,es,0.94,0.94,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,commonsense,ar,hi,0.94,0.94,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,commonsense,ar,tr,0.94,0.94,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,commonsense,ar,zh,0.94,0.93,0.01,1,0,1,0.0,1.0,False,Arabic > Chinese,0.0406
qwen3-32b,commonsense,en,es,0.95,0.94,0.01,1,0,1,0.0,1.0,False,English > Spanish,0.0439
qwen3-32b,commonsense,en,hi,0.95,0.94,0.01,1,0,1,0.0,1.0,False,English > Hindi,0.0439
qwen3-32b,commonsense,en,tr,0.95,0.94,0.01,1,0,1,0.0,1.0,False,English > Turkish,0.0439
qwen3-32b,commonsense,es,hi,0.94,0.94,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,commonsense,es,tr,0.94,0.94,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,commonsense,es,zh,0.94,0.93,0.01,1,0,1,0.0,1.0,False,Spanish > Chinese,0.0406
qwen3-32b,commonsense,hi,tr,0.94,0.94,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,commonsense,hi,zh,0.94,0.93,0.01,1,0,1,0.0,1.0,False,Hindi > Chinese,0.0406
qwen3-32b,commonsense,tr,zh,0.94,0.93,0.01,1,0,1,0.0,1.0,False,Turkish > Chinese,0.0406
llama3.3-70b,math,hi,tr,0.89,0.94,-0.05,0,5,5,3.2,0.073638,False,Turkish > Hindi,0.1812
llama3.3-70b,math,en,tr,0.9,0.94,-0.04,0,4,4,2.25,0.133614,False,Turkish > English,0.1486
llama3.3-70b,math,es,hi,0.93,0.89,0.04,5,1,6,1.5,0.220671,False,Spanish > Hindi,0.1406
llama3.3-70b,math,en,es,0.9,0.93,-0.03,0,3,3,1.3333,0.248213,False,Spanish > English,0.108
llama3.3-70b,math,tr,zh,0.94,0.91,0.03,4,1,5,0.8,0.371093,False,Turkish > Chinese,0.1145
llama3.3-70b,math,ar,hi,0.92,0.89,0.03,5,2,7,0.5714,0.449692,False,Arabic > Hindi,0.1026
llama3.3-70b,math,ar,en,0.92,0.9,0.02,3,1,4,0.25,0.617075,False,Arabic > English,0.07
llama3.3-70b,math,ar,tr,0.92,0.94,-0.02,1,3,4,0.25,0.617075,False,Turkish > Arabic,0.0786
llama3.3-70b,math,es,zh,0.93,0.91,0.02,3,1,4,0.25,0.617075,False,Spanish > Chinese,0.0739
llama3.3-70b,math,hi,zh,0.89,0.91,-0.02,3,5,8,0.125,0.723674,False,Chinese > Hindi,0.0667
llama3.3-70b,math,ar,es,0.92,0.93,-0.01,1,2,3,0.0,1.0,False,Spanish > Arabic,0.038
llama3.3-70b,math,ar,zh,0.92,0.91,0.01,1,0,1,0.0,1.0,False,Arabic > Chinese,0.0359
llama3.3-70b,math,en,hi,0.9,0.89,0.01,2,1,3,0.0,1.0,False,English > Hindi,0.0326
llama3.3-70b,math,en,zh,0.9,0.91,-0.01,2,3,5,0.0,1.0,False,Chinese > English,0.0341
llama3.3-70b,math,es,tr,0.93,0.94,-0.01,1,2,3,0.0,1.0,False,Turkish > Spanish,0.0406
llama4-scout,math,ar,en,0.94,0.88,0.06,6,0,6,4.1667,0.041227,True,Arabic > English,0.2125
llama4-scout,math,en,tr,0.88,0.94,-0.06,1,7,8,3.125,0.0771,False,Turkish > English,0.2125
llama4-scout,math,en,zh,0.88,0.93,-0.05,1,6,7,2.2857,0.13057,False,Chinese > English,0.172
llama4-scout,math,ar,hi,0.94,0.9,0.04,4,0,4,2.25,0.133614,False,Arabic > Hindi,0.1486
llama4-scout,math,en,es,0.88,0.92,-0.04,1,5,6,1.5,0.220671,False,Spanish > English,0.134
llama4-scout,math,hi,tr,0.9,0.94,-0.04,1,5,6,1.5,0.220671,False,Turkish > Hindi,0.1486
llama4-scout,math,hi,zh,0.9,0.93,-0.03,0,3,3,1.3333,0.248213,False,Chinese > Hindi,0.108
llama4-scout,math,ar,es,0.94,0.92,0.02,2,0,2,0.5,0.4795,False,Arabic > Spanish,0.0786
llama4-scout,math,ar,tr,0.94,0.94,0.0,1,1,2,0.5,0.4795,False,tie,0.0
llama4-scout,math,es,hi,0.92,0.9,0.02,3,1,4,0.25,0.617075,False,Spanish > Hindi,0.07
llama4-scout,math,es,tr,0.92,0.94,-0.02,1,3,4,0.25,0.617075,False,Turkish > Spanish,0.0786
llama4-scout,math,en,hi,0.88,0.9,-0.02,4,6,10,0.1,0.75183,False,Hindi > English,0.064
llama4-scout,math,ar,zh,0.94,0.93,0.01,1,0,1,0.0,1.0,False,Arabic > Chinese,0.0406
llama4-scout,math,es,zh,0.92,0.93,-0.01,0,1,1,0.0,1.0,False,Chinese > Spanish,0.038
llama4-scout,math,tr,zh,0.94,0.93,0.01,2,1,3,0.0,1.0,False,Turkish > Chinese,0.0406
qwen3-32b,math,en,hi,0.78,0.9,-0.12,2,14,16,7.5625,0.00596,True,Hindi > English,0.3329
qwen3-32b,math,en,zh,0.78,0.89,-0.11,3,14,17,5.8824,0.015293,True,Chinese > English,0.3003
qwen3-32b,math,ar,en,0.88,0.78,0.1,12,2,14,5.7857,0.016157,True,Arabic > English,0.2689
qwen3-32b,math,en,es,0.78,0.87,-0.09,3,12,15,4.2667,0.038867,True,Spanish > English,0.2387
qwen3-32b,math,en,tr,0.78,0.87,-0.09,3,12,15,4.2667,0.038867,True,Turkish > English,0.2387
qwen3-32b,math,es,hi,0.87,0.9,-0.03,2,5,7,0.5714,0.449692,False,Hindi > Spanish,0.0942
qwen3-32b,math,hi,tr,0.9,0.87,0.03,5,2,7,0.5714,0.449692,False,Hindi > Turkish,0.0942
qwen3-32b,math,tr,zh,0.87,0.89,-0.02,2,4,6,0.1667,0.683091,False,Chinese > Turkish,0.0616
qwen3-32b,math,ar,hi,0.88,0.9,-0.02,3,5,8,0.125,0.723674,False,Hindi > Arabic,0.064
qwen3-32b,math,es,tr,0.87,0.87,0.0,4,4,8,0.125,0.723674,False,tie,0.0
qwen3-32b,math,es,zh,0.87,0.89,-0.02,3,5,8,0.125,0.723674,False,Chinese > Spanish,0.0616
qwen3-32b,math,ar,es,0.88,0.87,0.01,4,3,7,0.0,1.0,False,Arabic > Spanish,0.0302
qwen3-32b,math,ar,tr,0.88,0.87,0.01,4,3,7,0.0,1.0,False,Arabic > Turkish,0.0302
qwen3-32b,math,ar,zh,0.88,0.89,-0.01,2,3,5,0.0,1.0,False,Chinese > Arabic,0.0314
qwen3-32b,math,hi,zh,0.9,0.89,0.01,4,3,7,0.0,1.0,False,Hindi > Chinese,0.0326
